status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5281959998_10151450577689999,Lester Holt opened the â€œNBC Nightly Newsâ€ù with a parental warning: â€œThis may not be appropriate for some of our younger viewers.â€ù,"After Donald Trump Said It, How News Outlets Handled It",link,https://www.nytimes.com/2018/01/11/business/media/trump-vulgarity.html?smid=fb-nytimes&smtyp=cur,1/11/18 20:55,7118,990,1070,3456,24,724,150,581,2170,13
5281959998_1966147323602780,"A woman who left France and became a prominent propagandist and recruiter for the Islamic State has asked her family, friends and country for a pardon. This is how she went from a Paris suburb to the Syrian battlefield.","Once an ISIS Recruiter, She Now Wants Out",video,https://www.facebook.com/nytimes/videos/1966147323602780/,1/11/18 19:55,1217,607,112,520,15,60,191,42,389,0
5281959998_10151450474969999,"â€œThis is the Netherlands, you have to answer questions,"" one reporter told the U.S. ambassador.","Pressed on False Claims About Muslims, U.S. Ambassador Goes Silent",link,https://www.nytimes.com/2018/01/11/world/europe/dutch-muslims-ambassador-trump.html?smid=fb-nytimes&smtyp=cur,1/11/18 19:25,14896,515,1692,10783,966,352,2378,142,272,3
5281959998_1966129436937902,"President Trump tweeted in support of an amendment to the Foreign Intelligence Surveillance Act, or FISA, on Thursday. It was the latest example of him contradicting his administration, his party and even himself.",Trump Contradicts His Team. Then He Doesnâ€™t.,video,https://www.facebook.com/nytimes/videos/1966129436937902/,1/11/18 18:55,832,140,133,393,7,44,259,47,81,1
5281959998_10151450260749999,"The recent spell of extremely cold weather is rare, about 15 times rarer than a century ago, scientists said.",That Recent Brutally Cold Weather? Itâ€™s Getting Rarer.,link,https://www.nytimes.com/2018/01/11/climate/cold-wave-northeast.html?_r=0%3Fsmid%3Dfb-nytimes&smtyp=cur,1/11/18 16:55,339,48,104,233,8,55,0,39,2,2
5281959998_10151450187374999,"It is not at all clear how much work or income alone improve health. In fact, there's quite a lot of evidence that causality can move in the opposite direction.",Can Requiring People to Work Make Them Healthier?,link,https://www.nytimes.com/2018/01/11/upshot/medicaid-work-requirements-trump.html?smid=fb-nytimes&smtyp=cur,1/11/18 16:25,308,105,56,179,11,8,4,9,96,1
5281959998_10151450242249999,"Some of James Franco's accusers say he's being insincere in his public appearances, and they fear that the pomp and circumstance of the Hollywood awards circuit will shield him from facing any consequences for what they said he did.",Womenâ€™s Accusations Follow James Franco After Golden Globes,link,https://www.nytimes.com/2018/01/11/movies/james-franco-allegations.html?smid=tw-nytimesarts&smtyp=cur,1/11/18 15:25,541,147,40,401,18,41,18,9,53,1
5281959998_10151450105614999,"Help us solve The New York Times crossword puzzle. Deb Amlen, our Wordplay columnist, is here with Darren McCleary from The Times's team of puzzle-makers for hints and encouragement. Put your guesses in the comments and share this with your friends.",The Crossword,video,https://www.facebook.com/nytimes/videos/10151450105614999/,1/11/18 12:59,289,2027,56,210,56,5,8,3,5,2
5281959998_10151449988299999,The wage increase brings Walmart in line with some of its other retail-industry rivals amid a tightening labor market. Target raised its base pay to $11 last fall.,"Walmart, Citing Tax Cuts, Will Raise Starting Wages and Expand Benefits",link,https://www.nytimes.com/2018/01/11/business/walmart-wages-tax-cuts.html?smid=fb-nytimes&smtyp=cur,1/11/18 12:10,1284,750,185,920,40,23,256,7,30,8
5281959998_10151449719994999,"The violence came a day after the body of a girl, Zainab Amin, was found on a pile of garbage near a busy road.",2 Die as Pakistanis Protest Over Girlâ€™s Killing,link,https://www.nytimes.com/2018/01/10/world/asia/pakistan-protest-child-deaths.html?smid=fb-nytimes&smtyp=cur,1/11/18 10:55,1932,81,103,388,7,24,2,1201,305,5
5281959998_10151449834814999,"She alerted a nurse to what she felt was happening in her body, but the nurse suggested that pain medication had perhaps left Serena Williams confused, according to Vogue.","For Serena Williams, Childbirth Was a Harrowing Ordeal",link,https://www.nytimes.com/2018/01/11/sports/tennis/serena-williams-baby-vogue.html?smid=fb-nytimes&smtyp=cur,1/11/18 8:40,4157,278,781,1719,25,873,5,1165,363,7
5281959998_10151449730224999,The CDC said the workshop had been scheduled before President Donald J. Trump's tweets about nuclear buttons.,"Nuclear War Would Be â€˜Devastating,â€™ So the C.D.C. Wants to Get People Prepared",link,https://www.nytimes.com/2018/01/05/health/cdc-nuclear-attack.html?smid=fb-nytimes&smtyp=cur,1/11/18 8:25,360,91,88,194,3,46,9,82,25,1
5281959998_10151449731649999,"The move could save potentially 5,000 lives, activists say.",Iran Eases Death Penalty for Drug Crimes,link,https://www.nytimes.com/2018/01/10/world/middleeast/iran-drugs-death-penalty.html?smid=fb-nytimes&smtyp=cur,1/11/18 5:55,378,36,34,325,31,19,0,1,1,1
5281959998_10151449695129999,"Nine Sudanese were sent home, and accounts quickly surfaced that at least 3 of them were abused.",Belgium in Uproar Over Torture of Sudanese It Deported,link,https://www.nytimes.com/2018/01/10/world/europe/belgium-sudan-theo-francken.html?smid=fb-nytimes&smtyp=cur,1/11/18 5:25,311,51,39,121,8,12,4,89,74,3
5281959998_10151449681349999,From The New York Times Books: Will democracy survive President Donald J. Trump? These books aren't so sure.,Will Democracy Survive President Trump? Two New Books Arenâ€™t So Sure,link,https://www.nytimes.com/2018/01/10/books/review-trumpocracy-david-frum-how-democracies-die-steven-levitsky-daniel-ziblatt.html?smid=fb-nytimes&smtyp=cur,1/11/18 3:55,921,280,232,424,13,41,39,281,117,6
5281959998_10151449672064999,"Egyptian officials say a Times report about a secret intelligence campaign to sway public opinion on Jerusalem ""undermines Egypt's security and public peace.""",Egypt Opens Criminal Inquiry Over New York Times Article,link,https://www.nytimes.com/2018/01/10/world/middleeast/egypt-times-investigation-jerusalem.html?smid=fb-nytimes&smtyp=cur,1/11/18 3:25,219,45,54,128,9,33,45,0,2,2
5281959998_10151449467674999,Ryan Zinke's Interior Department appears to have opened itself to a wave of legal challenges.,"Florida Is Exempted From Coastal Drilling. Other States Ask, â€˜Why Not Us?â€™",link,https://www.nytimes.com/2018/01/10/climate/coastal-drilling-florida-exempt-zinke.html?smid=fb-nytimes&smtyp=cur,1/10/18 21:55,4294,427,779,2842,70,150,330,35,864,3
